Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,71.70999908447266,73.63999938964844,70.05999755859375,70.37999725341797,70.37999725341797,330992
2024-01-03,70.5,73.2300033569336,69.27999877929688,72.69999694824219,72.69999694824219,334861
2024-01-04,73.04000091552734,74.0,71.05999755859375,72.19000244140625,72.19000244140625,344467
2024-01-05,72.4000015258789,74.23999786376953,72.20999908447266,73.80999755859375,73.80999755859375,325525
2024-01-08,73.51000213623047,73.94999694824219,70.12999725341797,70.7699966430664,70.7699966430664,392249
2024-01-09,70.91000366210938,72.93000030517578,70.47000122070312,72.23999786376953,72.23999786376953,363445
2024-01-10,72.16999816894531,73.58999633789062,71.01000213623047,71.37000274658203,71.37000274658203,352772
2024-01-11,71.33000183105469,73.80999755859375,71.16999816894531,72.0199966430664,72.0199966430664,373645
2024-01-12,73.01000213623047,75.25,72.36000061035156,72.68000030517578,72.68000030517578,403636
2024-01-16,72.62999725341797,73.55999755859375,71.2300033569336,72.4000015258789,72.4000015258789,430437
2024-01-17,72.0,72.94999694824219,70.5,72.55999755859375,72.55999755859375,315679
2024-01-18,72.77999877929688,74.37999725341797,72.18000030517578,74.08000183105469,74.08000183105469,86646
2024-01-19,74.08000183105469,74.91000366210938,73.19999694824219,73.41000366210938,73.41000366210938,78234
2024-01-22,73.41000366210938,75.75,72.88999938964844,75.19000244140625,75.19000244140625,372284
2024-01-23,74.68000030517578,75.25,73.41000366210938,74.37000274658203,74.37000274658203,306060
2024-01-24,74.56999969482422,75.83000183105469,73.94000244140625,75.08999633789062,75.08999633789062,323726
2024-01-25,75.30000305175781,77.51000213623047,75.16000366210938,77.36000061035156,77.36000061035156,320177
2024-01-26,77.1500015258789,78.26000213623047,76.05999755859375,78.01000213623047,78.01000213623047,365456
2024-01-29,78.9000015258789,79.29000091552734,76.41000366210938,76.77999877929688,76.77999877929688,331925
2024-01-30,77.0199966430664,78.13999938964844,75.8499984741211,77.81999969482422,77.81999969482422,347242
2024-01-31,77.83999633789062,78.11000061035156,75.5199966430664,75.8499984741211,75.8499984741211,344493
2024-02-01,75.95999908447266,76.94999694824219,73.69999694824219,73.81999969482422,73.81999969482422,577936
2024-02-02,73.91000366210938,74.5199966430664,71.79000091552734,72.27999877929688,72.27999877929688,467768
2024-02-05,72.75,73.27999877929688,71.41000366210938,72.77999877929688,72.77999877929688,350843
2024-02-06,72.76000213623047,73.81999969482422,72.37999725341797,73.30999755859375,73.30999755859375,310955
2024-02-07,73.5,74.22000122070312,73.2300033569336,73.86000061035156,73.86000061035156,294955
2024-02-08,74.08000183105469,76.58999633789062,73.55999755859375,76.22000122070312,76.22000122070312,377906
