Open,High,Low,Close,Adj Close,Volume,Normalized Adj Close,Open_Close_Diff,Normalized_Open_Close_Diff,High_Open_Diff,Normalized_High_Open_Diff,Low_Open_Diff,Normalized_Low_Open_Diff,Normalized_Volume,mean_compound_before_930am
72.4000015258789,74.23999786376953,72.20999908447266,73.80999755859375,73.80999755859375,325525,-0.5849970991696287,-1.4099960327148438,0.1906621543394042,1.839996337890625,0.5013691128148959,1.839996337890625,0.5013691128148959,0.4963082842102322,-0.3815629333257675
73.01000213623047,75.25,72.36000061035156,72.68000030517578,72.68000030517578,403636,-0.7217178269757378,0.3300018310546875,0.5291831797064018,2.2399978637695312,0.6109587552151702,2.2399978637695312,0.6109587552151702,0.6521805069424212,-0.7917901752516627
77.0199966430664,78.13999938964844,75.8499984741211,77.81999969482422,77.81999969482422,347242,-0.0998185654066862,-0.8000030517578125,0.3093378456605958,1.1200027465820312,0.3041102647926891,1.1200027465820312,0.3041102647926891,0.5396450365380087,-0.0905399993062019
73.5,74.22000122070312,73.2300033569336,73.86000061035156,73.86000061035156,294955,-0.5789471255009528,-0.3600006103515625,0.3949414436478604,0.720001220703125,0.1945206223924149,0.720001220703125,0.1945206223924149,0.4353051751868806,-0.3898936808109283
74.08000183105469,76.58999633789062,73.55999755859375,76.22000122070312,76.22000122070312,377906,-0.293405722551383,-2.139999389648437,0.0486381380712769,2.509994506835937,0.6849305619424262,2.509994506835937,0.6849305619424262,0.6008357246339214,-0.0410008956678212
77.02999877929688,78.47000122070312,76.87000274658203,77.87000274658203,77.87000274658203,338174,-0.0937685917380104,-0.8400039672851562,0.3015555654510101,1.44000244140625,0.3917815606631941,1.44000244140625,0.3917815606631941,0.5215496426020011,-0.4971603928133845
77.80999755859375,78.7699966430664,76.37999725341797,76.63999938964844,76.63999938964844,296131,-0.2425892668814712,1.1699981689453125,0.6926066111531668,0.9599990844726562,0.2602735717331505,0.9599990844726562,0.2602735717331505,0.4376519091159438,-0.2493977099657058
76.5999984741211,78.44000244140625,75.77999877929688,78.02999877929688,78.02999877929688,122432,-0.0744103375717303,-1.4300003051757812,0.1867702720755221,1.840003967285156,0.5013712030634683,1.840003967285156,0.5013712030634683,0.0910317248095274,-0.6262468872591853
78.9800033569336,79.80000305175781,77.66999816894531,78.18000030517578,78.18000030517578,435235,-0.0562613396620821,0.8000030517578125,0.6206231167713111,0.8199996948242188,0.2219175104303404,0.8199996948242188,0.2219175104303404,0.7152370081537031,0.1696467716246843
77.1500015258789,78.08000183105469,76.31999969482422,77.91000366210938,77.91000366210938,323243,-0.0889287974223457,-0.7600021362304688,0.3171201258701815,0.9300003051757812,0.2520547143466301,0.9300003051757812,0.2520547143466301,0.4917545028955025,-0.1096420437097549
78.37000274658203,78.38999938964844,76.3499984741211,76.48999786376953,76.48999786376953,353437,-0.2607382647911194,1.8800048828125,0.8307402294755903,0.0199966430664062,0.0027382256297918,0.0199966430664062,0.0027382256297918,0.5520072956286094,0.5593037977814674
76.4000015258789,78.02999877929688,75.83999633789062,77.58000183105469,77.58000183105469,274710,-0.128856408204296,-1.1800003051757812,0.235408410146799,1.6299972534179688,0.4438350208606808,1.6299972534179688,0.4438350208606808,0.3949058313145302,-0.4925067443400621
77.62000274658203,79.0,77.16999816894531,78.87000274658203,78.87000274658203,269236,0.0272234968644724,-1.25,0.2217897908595686,1.3799972534179688,0.3753417556415809,1.3799972534179688,0.3753417556415809,0.3839823436209146,-0.1031635031104087
78.19999694824219,79.27999877929688,77.94000244140625,78.26000213623047,78.26000213623047,317939,-0.0465817510307524,-0.0600051879882812,0.4533063187424856,1.0800018310546875,0.2931510915278045,1.0800018310546875,0.2931510915278045,0.4811702539501359,-0.1563686579465866
80.13999938964844,80.41000366210938,78.55999755859375,78.73999786376953,78.73999786376953,347214,0.0114939345644669,1.4000015258789062,0.7373543512787402,0.2700042724609375,0.0712335810974641,0.2700042724609375,0.0712335810974641,0.5395891619206501,-0.5866821715608239
79.12999725341797,79.52999877929688,78.0199966430664,78.93000030517578,78.93000030517578,432923,0.03448272678978,0.1999969482421875,0.5038903979457037,0.4000015258789062,0.1068493265219099,0.4000015258789062,0.1068493265219099,0.7106233611775177,0.4502900363877415
77.80000305175781,78.47000122070312,76.79000091552734,77.93000030517578,77.93000030517578,329873,-0.0865093618127028,-0.1299972534179687,0.4396891837734337,0.6699981689453125,0.180821133249166,0.6699981689453125,0.180821133249166,0.5049848140772107,-0.0963204242289066
78.08999633789062,78.7300033569336,77.33999633789062,77.55999755859375,77.55999755859375,309922,-0.1312767669103179,0.529998779296875,0.568093096436152,0.6400070190429688,0.1726043661112179,0.6400070190429688,0.1726043661112179,0.4651721536871261,0.1494559980928897
78.05999755859375,79.9000015258789,77.56999969482422,79.72000122070312,79.72000122070312,316390,0.130066587557307,-1.660003662109375,0.1420225319499488,1.840003967285156,0.5013712030634683,1.840003967285156,0.5013712030634683,0.4780791902969736,-0.3221667483448982
79.62999725341797,81.62000274658203,79.56999969482422,81.26000213623047,81.26000213623047,297450,0.316394514776696,-1.6300048828125,0.1478588710275934,1.9900054931640625,0.5424675802446427,1.9900054931640625,0.5424675802446427,0.4402840026979458,0.5923570031300187
81.02999877929688,83.08999633789062,81.01000213623047,82.72000122070312,82.72000122070312,84718,0.4930428533647555,-1.69000244140625,0.1361861928723041,2.05999755859375,0.5616435206474754,2.05999755859375,0.5616435206474754,0.0157726062715266,-0.4417578876018524
