date,mean_compound_trading_hours
2024-01-02,-0.1634080782532692
2024-01-03,-0.0385178094729781
2024-01-04,-0.20520068425685165
2024-01-05,0.026572091504931457
2024-01-06,-0.1789075620472431
2024-01-08,0.4825838068500161
2024-01-09,-0.07267569022951648
2024-01-10,-0.04757872503250837
2024-01-11,0.10023129762460786
2024-01-12,0.0937865693122148
2024-01-14,0.8764640367589891
2024-01-15,-0.428387314081192
2024-01-16,-0.1301845666021108
2024-01-17,-0.009243589267134655
2024-01-18,-0.01790863554924725
2024-01-19,-0.3448948658381899
2024-01-22,-0.1025830134749412
2024-01-23,-0.015673287212848625
2024-01-24,0.0888948962092399
2024-01-25,-0.19240575904647506
2024-01-26,0.0090197883546352
2024-01-29,-0.014090651646256454
2024-01-30,-0.1373534873127937
2024-01-31,0.22449964936822653
2024-02-01,0.07189140841364863
2024-02-02,0.4397129442853232
2024-02-03,-0.6128503661602736
2024-02-05,-0.20662964042276144
2024-02-06,-0.017333187628537423
2024-02-07,-0.08200750714167955
2024-02-08,-0.04589510646959147
2024-02-09,0.0075170043855905
2024-02-11,0.0656840857118368
2024-02-12,0.0642270483076572
2024-02-13,0.03269110321998596
2024-02-14,0.004119069625933966
2024-02-15,-0.1216194652952253
2024-02-16,-0.3781748212253054
2024-02-17,-0.0438770279288291
2024-02-18,-0.1213220208883285
2024-02-20,-0.1426995284855365
2024-02-21,-0.07899021916091443
2024-02-22,-0.0680853351950645
2024-02-23,-0.1941555459052324
2024-02-25,-0.2671288624405861
2024-02-26,0.3379175655427389
2024-02-27,-0.0269595926627517
2024-02-28,-0.19557652746637658
2024-02-29,0.03608163104703029
2024-03-01,-0.1108470608790715
2024-03-02,-0.808768761344254
2024-03-03,0.5474887378513813
2024-03-04,0.5113099170848727
2024-03-05,0.06657763021066787
2024-03-06,-0.38673119184871513
2024-03-07,-0.10641158465296033
2024-03-08,0.0866767428815364
2024-03-09,-0.0651224181056022
2024-03-11,0.1730884816497564
2024-03-12,0.007036058620239288
2024-03-13,-0.29492258622000617
2024-03-14,0.14951091317925602
2024-03-15,-0.036695942468941214
2024-03-17,-0.8677939823828638
2024-03-18,0.46356991585344076
2024-03-19,-0.1307067697246869
2024-03-20,-0.13335318211466074
2024-03-21,-0.13403023682379475
2024-03-22,-0.28465515095740557
2024-03-23,0.5525201358832419
2024-03-25,0.1596207655966282
2024-03-26,-0.05387071473523973
2024-03-27,0.03504144921898843
2024-03-28,0.005300631374120718
2024-03-29,0.07612937837839126
2024-04-01,0.2737244320567697
2024-04-02,0.21381804994307457
2024-04-03,0.36768489907262847
2024-04-04,-0.06202828660607336
2024-04-05,0.06871307455003264
2024-04-07,-0.0967478230595588
2024-04-08,0.299210850149393
2024-04-09,-0.26557472557760775
2024-04-10,-0.2745672641322016
2024-04-11,0.03668410750105977
2024-04-12,0.12405691295862199
2024-04-15,-0.42280431898931664
2024-04-16,-0.041294622235000106
2024-04-17,0.021201935596764088
2024-04-18,0.36466369894333184
2024-04-19,-0.14965302310883996
2024-04-20,-0.7674923064187169
2024-04-22,-0.5144191354047507
2024-04-23,0.16789667960256338
2024-04-24,-0.2925276714377105
2024-04-25,0.24092537770047784
2024-04-26,-0.03630808880552646
2024-04-27,-0.603248491184786
2024-04-29,-0.051356554031372
2024-04-30,0.05056400100390116
2024-05-01,0.020137280225753798
2024-05-02,0.16974077629856768
2024-05-03,0.09262236580252645
2024-05-04,-0.0750662311911583
2024-05-05,0.2677953131496906
2024-05-06,0.5778702553361654
2024-05-07,0.13085151277482512
2024-05-08,-0.2785505127782623
2024-05-09,0.0664730655650298
2024-05-10,-0.12923039868474004
2024-05-11,0.11662085540592669
2024-05-12,-0.0322873964905738
2024-05-13,0.2609943998977542
2024-05-14,-0.20280505095918974
2024-05-15,-0.1870937570929527
2024-05-16,0.09754860610701142
2024-05-17,0.28369480557739735
2024-05-18,-0.5359655180945992
2024-05-19,-0.383538318797946
2024-05-20,0.028117956244386705
2024-05-21,-0.026170021588248864
2024-05-22,-0.07851333031430842
2024-05-23,0.00979876220226286
2024-05-24,0.0111637450754642
2024-05-26,-0.1082534063607454
2024-05-27,-0.5452421056106687
2024-05-28,-0.26011414639651775
2024-05-29,-0.047392907862861954
2024-05-30,0.022454804740846164
2024-05-31,0.1191176939755678
2024-06-01,-0.6704700151458383
2024-06-02,-0.4293740466237068
2024-06-03,-0.20052934437990189
2024-06-04,-0.08909396035596724
2024-06-05,-0.03141646459698674
2024-06-06,-0.1713510516565293
2024-06-07,-0.2787314604967832
2024-06-09,0.0039753019809722
2024-06-10,-0.4773611603304744
2024-06-11,-0.2086368240416049
2024-06-12,0.09939870052039619
2024-06-13,-0.24956804290413856
2024-06-14,0.10930860582739113
2024-06-15,0.1293350988999009
2024-06-16,0.9609019251074642
2024-06-17,-0.5039026979357004
2024-06-18,-0.010606626048684084
2024-06-19,-0.3299391604959965
2024-06-20,0.09264348627766598
2024-06-21,-0.1511889025568962
2024-06-24,0.026091294363141053
2024-06-25,-0.06323259184136984
2024-06-26,-0.1034642942249775
2024-06-27,0.2087274892255664
2024-06-28,0.29546645902363317
2024-07-01,0.08196912457545596
2024-07-02,0.07710811856668445
2024-07-03,-0.023020191490650176
2024-07-04,-0.0754921436309814
2024-07-05,0.14360503759235138
2024-07-06,-0.5511208879761398
2024-07-08,0.11818184292254352
2024-07-09,0.08055661395192149
