date,mean_compound_per_day
2024-01-02,0.04001945676282049
2024-01-03,-0.02143930122256278
2024-01-04,0.08273934181779627
2024-01-05,-0.09416855592280625
2024-01-06,-0.1789075620472431
2024-01-08,0.5111851228090624
2024-01-09,-0.15090052144868032
2024-01-10,0.12938806626738775
2024-01-11,-0.06109141387666264
2024-01-12,-0.3103537308052182
2024-01-14,0.8764640367589891
2024-01-15,-0.3741931654512882
2024-01-16,-0.3070371791254729
2024-01-17,-0.009243589267134655
2024-01-18,-0.1923595697735436
2024-01-19,-0.2825999890919775
2024-01-22,-0.23502516243606805
2024-01-23,-0.11669670604169365
2024-01-24,-0.06997064091265202
2024-01-25,-0.018042799551039906
2024-01-26,0.0090197883546352
2024-01-27,0.4758386723697185
2024-01-29,-0.12665926292538643
2024-01-30,-0.008640939901982019
2024-01-31,0.118358518263059
2024-02-01,0.04991268273442988
2024-02-02,0.4022914433153346
2024-02-03,-0.6128503661602736
2024-02-05,-0.25611185021698474
2024-02-06,0.15892170070825765
2024-02-07,-0.1545804880443029
2024-02-08,-0.019023147284645932
2024-02-09,-0.07224547211080792
2024-02-10,-0.12968801870010793
2024-02-11,0.07543969113612548
2024-02-12,0.010396323166787624
2024-02-13,-0.32848505206549394
2024-02-14,0.022405280332480165
2024-02-15,-0.28377636854669874
2024-02-16,-0.17343104040871063
2024-02-17,-0.32315480740120006
2024-02-18,0.24612787319347265
2024-02-19,-0.3004752483684569
2024-02-20,0.01335721323266623
2024-02-21,-0.2194743465515785
2024-02-22,-0.1815780682954937
2024-02-23,-0.11859809840098019
2024-02-25,-0.6667732587084174
2024-02-26,0.14814888216954256
2024-02-27,-0.10827805520966649
2024-02-28,0.047813208175024824
2024-02-29,0.06733954573671021
2024-03-01,-0.13175313621759413
2024-03-02,-0.7818421074189246
2024-03-03,-0.049374439443151175
2024-03-04,0.10820974269881845
2024-03-05,0.17548945205370814
2024-03-06,-0.10880528821144254
2024-03-07,0.09934999203930296
2024-03-08,-0.08219916280359034
2024-03-09,0.27240582299418753
2024-03-11,0.1247382666915655
2024-03-12,0.21052615261370583
2024-03-13,-0.11476179463788867
2024-03-14,0.020131777506321655
2024-03-15,-0.21651502033429487
2024-03-16,0.2461104387572656
2024-03-17,-0.6672874232754111
2024-03-18,0.03334493953734638
2024-03-19,0.15304962199713504
2024-03-20,0.09225126897746866
2024-03-21,-0.18991473687558688
2024-03-22,-0.24953766153859241
2024-03-23,0.31973639235366136
2024-03-25,0.11082887401183443
2024-03-26,-0.11465308189924274
2024-03-27,0.12275157814535002
2024-03-28,-0.051245815431078284
2024-03-29,0.06134588892261189
2024-03-30,0.06208658870309591
2024-03-31,0.44389379781205207
2024-04-01,0.26604319744122523
2024-04-02,0.12335348210763186
2024-04-03,0.2273729479929898
2024-04-04,0.00017005559574401197
2024-04-05,-0.009988622473818947
2024-04-06,0.3442915957421064
2024-04-07,0.2937009076122195
2024-04-08,0.11641165567561981
2024-04-09,0.013349828881804237
2024-04-10,-0.07156715927911654
2024-04-11,0.05597573503231008
2024-04-12,-0.21735071280272678
2024-04-13,-0.19933578360360116
2024-04-15,-0.31780597381293774
2024-04-16,-0.061872934550046874
2024-04-17,-0.015320782836240067
2024-04-18,0.2242880831938237
2024-04-19,-0.1327086323096106
2024-04-20,-0.4920212267898023
2024-04-21,-0.3180767297744751
2024-04-22,-0.29254753421992064
2024-04-23,0.19703445013146847
2024-04-24,-0.27523285166049993
2024-04-25,0.14707344894607863
2024-04-26,-0.09830889149036788
2024-04-27,-0.5107193261695405
2024-04-28,-0.6129711670801044
2024-04-29,0.04974326491355896
2024-04-30,0.022369880229234695
2024-05-01,-0.08478363960360485
2024-05-02,-0.023683704202994704
2024-05-03,-0.07685559602188215
2024-05-04,-0.31533597502857447
2024-05-05,0.35389885213226074
2024-05-06,0.09383920793022427
2024-05-07,-0.031908995995763675
2024-05-08,-0.21147870621643958
2024-05-09,-0.14774766894988717
2024-05-10,-0.030115049332380323
2024-05-11,0.09830071777105331
2024-05-12,-0.18740483990404752
2024-05-13,0.1113622433816393
2024-05-14,-0.23629526413666704
2024-05-15,-0.22482735549824107
2024-05-16,-0.0012485539667646992
2024-05-17,-0.04559800773859024
2024-05-18,-0.5359655180945992
2024-05-19,-0.3623919431120157
2024-05-20,-0.045493245657001254
2024-05-21,0.047946303035132566
2024-05-22,-0.11569803073588344
2024-05-23,-0.14467204020669064
2024-05-24,-0.032511286623775996
2024-05-25,0.6398967136628926
2024-05-26,-0.1082534063607454
2024-05-27,-0.5459657115861773
2024-05-28,0.09558870242908593
2024-05-29,0.004663295888652404
2024-05-30,-0.012567268345843657
2024-05-31,0.025494359123210093
2024-06-01,-0.6704700151458383
2024-06-02,-0.03450997546315197
2024-06-03,-0.11726179328979924
2024-06-04,-0.0422143656760454
2024-06-05,0.07036907644942403
2024-06-06,-0.11963355566452567
2024-06-07,-0.14290768699720502
2024-06-08,-0.18317550544937453
2024-06-09,-0.254705110564828
2024-06-10,-0.06048128118709428
2024-06-11,-0.11029341572429985
2024-06-12,-0.07502698805183172
2024-06-13,-0.19929568078368903
2024-06-14,0.06674536876380445
2024-06-15,0.06248140397171179
2024-06-16,0.5795629127824213
2024-06-17,-0.26395713032356327
2024-06-18,-0.009919859352521616
2024-06-19,-0.25310709699988365
2024-06-20,0.2175967968602587
2024-06-21,-0.02361514093354345
2024-06-22,0.0399146725734075
2024-06-23,0.2301435302942991
2024-06-24,0.11963675015916427
2024-06-25,0.0699548755461971
2024-06-26,-0.10261630039894952
2024-06-27,0.2233768634032458
