date,mean_compound_after_4pm_before_930am
2024-01-03,-0.1115247880419095
2024-01-05,-0.2071065623313188
2024-01-09,-0.0482554733753204
2024-01-10,-0.6251665545860305
2024-01-11,0.2647101357579232
2024-01-12,-0.3860762286931276
2024-01-14,-0.47377580869942904
2024-01-17,-0.3954634853871539
2024-01-19,-0.36681050399783993
2024-01-22,-0.0957153588533401
2024-01-23,-0.3233199284101526
2024-01-24,-0.1174547150731086
2024-01-25,-0.099665654823184
2024-01-27,0.4758386723697185
2024-01-30,-0.22116824239492414
2024-01-31,0.28973368462175125
2024-02-01,-0.0114844553172588
2024-02-03,0.2900269404053688
2024-02-06,-0.350724184885621
2024-02-07,-0.3898936808109283
2024-02-08,-0.22617214793960252
2024-02-10,0.023137517739087354
2024-02-11,-0.056556992776071034
2024-02-12,-0.4866996305063367
2024-02-13,-0.27699674479663366
2024-02-14,-0.48572141844779254
2024-02-15,-0.05809235596098006
2024-02-16,-0.5656143637994925
2024-02-17,-0.18959416169673204
2024-02-18,-0.0732725262641906
2024-02-19,0.13201695897926888
2024-02-20,-0.35904177417978644
2024-02-21,-0.1096420437097549
2024-02-22,-0.4017306945752352
2024-02-23,-0.04098119325935838
2024-02-25,-0.4945966419763863
2024-02-26,-0.4925067443400621
2024-02-28,-0.4211529241874814
2024-02-29,-0.02421052024389307
2024-03-01,-0.054463736712932614
2024-03-02,-0.3603799839814504
2024-03-04,-0.42743140924721956
2024-03-05,-0.0007604388520121574
2024-03-06,0.2846314469934441
2024-03-07,0.538812271784991
2024-03-08,0.5714562544599175
2024-03-11,-0.17369774635881186
2024-03-12,0.16200726479291913
2024-03-13,0.19845732916146516
2024-03-14,0.254990839632228
2024-03-15,-0.22740284707397226
2024-03-16,-0.666062714997679
2024-03-17,0.8561084782704711
2024-03-18,-0.45426937588490546
2024-03-19,-0.1540013745427131
2024-03-20,0.3658669157885015
2024-03-21,0.23292701207101346
2024-03-22,-0.2777141494055589
2024-03-23,-0.001116347499191754
2024-03-26,-0.01754047488793735
2024-03-27,-0.2129619063343853
2024-03-28,0.24977611936628819
2024-03-29,-0.12192887393757705
2024-03-30,-0.13147272542119018
2024-04-01,0.1260501779615879
2024-04-02,0.8632137719541788
2024-04-03,-0.3289693570695817
2024-04-04,-0.03559273543457192
2024-04-05,-0.34413797035813326
2024-04-07,0.07946718864453332
2024-04-09,0.018262305296957493
2024-04-10,0.1839807579293847
2024-04-11,0.13725284487009046
2024-04-12,-0.44109201105311513
2024-04-13,-0.2811478467580552
2024-04-15,-0.5169358933344483
2024-04-16,-0.16030845604836935
2024-04-17,-0.22464784588664766
2024-04-18,-0.053979620337486246
2024-04-19,0.1333963433280587
2024-04-20,-0.38951111771166325
2024-04-21,-0.3180767297744751
2024-04-23,0.0452762208878994
2024-04-24,0.2827655607834458
2024-04-25,-0.20392913216104105
2024-04-26,0.19953218583638468
2024-04-27,-0.9304625319782645
2024-04-28,-0.6568689439445734
2024-04-29,-0.5690733902156353
2024-04-30,0.11875639706850052
2024-05-01,-0.18225388368591666
2024-05-02,-0.10795018076896665
2024-05-03,-0.0695515412371606
2024-05-04,-0.2688266400558253
2024-05-05,0.0405671251937747
2024-05-06,0.1983725354075431
2024-05-07,-0.07066696919500827
2024-05-08,-0.1233752200912152
2024-05-09,0.02361810952425
2024-05-10,-0.2793319028802216
2024-05-11,0.13519453133145964
2024-05-12,-0.0336618218570947
2024-05-13,0.1102051502093672
2024-05-14,-0.25734739610925317
2024-05-15,0.1296933591365814
2024-05-16,-0.2820698836818337
2024-05-17,-0.25588045703868073
2024-05-18,-0.14272734336555007
2024-05-19,-0.3412455674260854
2024-05-21,0.284007859416306
2024-05-22,0.08985266027351213
2024-05-23,-0.3251466692890972
2024-05-24,-0.32860144786536694
2024-05-26,0.1421957900747656
2024-05-28,-0.4839868582785129
2024-05-29,0.1898401759875317
2024-05-30,-0.09154215734452009
2024-05-31,0.01571759465150535
2024-06-01,-0.6254834309220314
2024-06-03,-0.1345181473297999
2024-06-04,0.006861489576598008
2024-06-05,0.4281434547156095
2024-06-06,-0.046131878625601516
2024-06-07,0.0665819570422172
2024-06-08,-0.38674479350447655
2024-06-09,-0.2704705912619829
2024-06-11,-0.008030219457577936
2024-06-12,-0.055374576477333896
2024-06-13,-0.286377743507425
2024-06-14,-0.09362274905045827
2024-06-15,0.14968339136491224
2024-06-16,-0.0712259858846664
2024-06-17,0.42297924525337294
2024-06-18,-0.11713186034467071
2024-06-19,-0.13216159741083786
2024-06-20,0.00024733692407610114
2024-06-21,0.5576174992456799
2024-06-22,0.0037261312827467762
2024-06-23,-0.0212481543421745
2024-06-24,0.2135321167297661
2024-06-25,0.13510577970494825
2024-06-26,-0.40676698088645935
2024-06-27,0.11881584282964468
2024-06-28,-0.2066932544112205
2024-07-01,-0.5644837431609631
2024-07-02,-0.14840023964643473
2024-07-03,-0.018502127689619896
2024-07-04,0.15403443361477306
2024-07-05,-0.1636376827955246
2024-07-06,-0.3064120449125767
2024-07-07,-0.1185203529894352
2024-07-08,0.4547622725367546
2024-07-09,-0.2371151125989854
